Nested Sampling Global Log-Evidence           :   -0.124038682601926435E+02  +/-    0.156058026848030496E+00
Nested Importance Sampling Global Log-Evidence:   -0.129445318045761422E+02  +/-    0.131915211116586800E+00

Dim No.       Mean        Sigma
   1    0.264367279146894507E+01    0.138915213333107773E+00
   2    0.158041033009374857E+10    0.797946472386051714E+08
   3    0.660764971366463556E+03    0.171463223574330556E+03
   4    0.787952326325906394E-01    0.117431169895179210E+01
   5   -0.183744206201297366E+01    0.796428536345539118E+00
   6   -0.184206642343615190E+01    0.106798523581658400E+01
   7   -0.352560139039416232E+01    0.151862766197791710E+01
   8   -0.321883467969290216E+01    0.158245934869469052E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.268220333370865482E+01
   2    0.147431560846735287E+10
   3    0.714841237634454501E+03
   4   -0.211707963475584826E+01
   5   -0.120078817428459672E+01
   6   -0.817860460552520152E+00
   7   -0.202494341709599324E+01
   8   -0.466357469565483385E+01

MAP Parameters
Dim No.        Parameter
   1    0.268220333370865482E+01
   2    0.147431560846735287E+10
   3    0.714841237634454501E+03
   4   -0.211707963475584826E+01
   5   -0.120078817428459672E+01
   6   -0.817860460552520152E+00
   7   -0.202494341709599324E+01
   8   -0.466357469565483385E+01
