# #wave,bin_width,rp/rs,rp/rs_err
6.329787564466036187e-01,6.714128491933202270e-03,2.084116197710630947e-02,2.374757384697874261e-07
6.397093003717213566e-01,6.746959358302273557e-03,2.109831705763456217e-02,2.061674359546321369e-07
6.464723848451838784e-01,6.779209588622880922e-03,2.108714938647678408e-02,1.672888295637213889e-07
6.532674473530518666e-01,6.810915427112984588e-03,2.105735304217749154e-02,1.649219421646065868e-07
6.600939394590374931e-01,6.842068784858268415e-03,2.104852354968170941e-02,1.353814314873929634e-07
6.669512893003977094e-01,6.872630897862053168e-03,2.124890052827816539e-02,1.283575640586198915e-07
6.738389295757885034e-01,6.902649652919645717e-03,2.106042039004159608e-02,1.088584781272939588e-07
6.807563071366588003e-01,6.932105468820948246e-03,2.101270196242940522e-02,1.052571036735737987e-07
6.877028682975634410e-01,6.961016852988333170e-03,2.096059834115611420e-02,1.037229707539402466e-07
6.946780508002617927e-01,6.989348152408370041e-03,2.107699054817897474e-02,1.086951647245062376e-07
7.019010275392909559e-01,7.456605325650067506e-03,2.106016353495567678e-02,7.868204915974610768e-08
7.126886507834691020e-01,1.411864116270611369e-02,2.102237724213604567e-02,4.924735384180680118e-08
7.341974139876253913e-01,7.583596403880621395e-03,2.109933780384568372e-02,7.542444933509911327e-08
7.417949025853061151e-01,7.611380791480937269e-03,2.097186677604163940e-02,1.015992857513492305e-07
7.494198383420895837e-01,7.638490722085777840e-03,2.104468546657496317e-02,1.011289831217736881e-07
7.570715661876588065e-01,7.664964969052778798e-03,2.101435380749712076e-02,1.021496536411313445e-07
7.647494109596231215e-01,7.690724574875962283e-03,2.129301734166236595e-02,1.046042948306048848e-07
7.726799984455690051e-01,8.170450397015582844e-03,2.113973471507462135e-02,1.105872273869395387e-07
7.808641351316237822e-01,8.197822975094082310e-03,2.096940785883582778e-02,1.100272400850791724e-07
7.890752155461269179e-01,8.224337853912078167e-03,2.091613548742985232e-02,1.267282571852031195e-07
7.973124361649973624e-01,8.250103383828921721e-03,2.107751756205854601e-02,1.352876062405762435e-07
8.055750014744225140e-01,8.275027235021492622e-03,2.109297473285810104e-02,1.121027492357871825e-07
8.138621137540340555e-01,8.299197324201368353e-03,2.100472551159228776e-02,1.524064585431641544e-07
8.221729746298955810e-01,8.322524427521682533e-03,2.083715431040565266e-02,1.477261172468745384e-07
8.305067770784018144e-01,8.345080469490784303e-03,2.104786609032312933e-02,1.825220424876949077e-07
8.390954605940791344e-01,8.832286561863966767e-03,2.097385433104073660e-02,1.949984274879856838e-07
8.484061256231778536e-01,9.789043496333471595e-03,2.096463045808767689e-02,1.886590492589354453e-07
