# #wave,bin_width,(rp/rs)**2,(rp/rs)**2_err
6.329787564466036187e-01,6.714128491933202270e-03,2.084116197710630947e-02,4.872498341996500410e-04
6.397093003717213566e-01,6.746959358302273557e-03,2.109831705763456217e-02,4.540532653223999533e-04
6.464723848451838784e-01,6.779209588622880922e-03,2.108714938647678408e-02,4.089539076954499847e-04
6.532674473530518666e-01,6.810915427112984588e-03,2.105735304217749154e-02,4.061058192626499914e-04
6.600939394590374931e-01,6.842068784858268415e-03,2.104852354968170941e-02,3.678933936131999725e-04
6.669512893003977094e-01,6.872630897862053168e-03,2.124890052827816539e-02,3.582387135560500028e-04
6.738389295757885034e-01,6.902649652919645717e-03,2.106042039004159608e-02,3.295014695671999580e-04
6.807563071366588003e-01,6.932105468820948246e-03,2.101270196242940522e-02,3.234018675453499735e-04
6.877028682975634410e-01,6.961016852988333170e-03,2.096059834115611420e-02,3.215474754917499673e-04
6.946780508002617927e-01,6.989348152408370041e-03,2.107699054817897474e-02,3.294519423231499853e-04
7.019010275392909559e-01,7.456605325650067506e-03,2.106016353495567678e-02,2.804961827983500034e-04
7.126886507834691020e-01,1.411864116270611369e-02,2.102237724213604567e-02,2.215710602752500114e-04
7.341974139876253913e-01,7.583596403880621395e-03,2.109933780384568372e-02,2.745536886848500046e-04
7.417949025853061151e-01,7.611380791480937269e-03,2.097186677604163940e-02,3.187420614908999966e-04
7.494198383420895837e-01,7.638490722085777840e-03,2.104468546657496317e-02,3.179801547150500041e-04
7.570715661876588065e-01,7.664964969052778798e-03,2.101435380749712076e-02,3.195506483057500009e-04
7.647494109596231215e-01,7.690724574875962283e-03,2.129301734166236595e-02,3.218736506342000266e-04
7.726799984455690051e-01,8.170450397015582844e-03,2.113973471507462135e-02,3.324822797822500403e-04
7.808641351316237822e-01,8.197822975094082310e-03,2.096940785883582778e-02,3.316447604647500074e-04
7.890752155461269179e-01,8.224337853912078167e-03,2.091613548742985232e-02,3.559510221727500397e-04
7.973124361649973624e-01,8.250103383828921721e-03,2.107751756205854601e-02,3.676908314173500040e-04
8.055750014744225140e-01,8.275027235021492622e-03,2.109297473285810104e-02,3.348163507121500095e-04
8.138621137540340555e-01,8.299197324201368353e-03,2.100472551159228776e-02,3.903231008928499928e-04
8.221729746298955810e-01,8.322524427521682533e-03,2.083715431040565266e-02,3.843200816596000413e-04
8.305067770784018144e-01,8.345080469490784303e-03,2.104786609032312933e-02,4.271784225992500362e-04
8.390954605940791344e-01,8.832286561863966767e-03,2.097385433104073660e-02,4.415082343036999925e-04
8.484061256231778536e-01,9.789043496333471595e-03,2.096463045808767689e-02,4.342294989349500017e-04
