# #wave,bin_width,rp/rs,rp/rs_err
5.213245850000000070e-01,8.498070999999995934e-03,2.084224516222864601e-02,1.111492512596191567e-06
5.300362327500000026e-01,8.925224499999995231e-03,2.143928304797147397e-02,5.272060185459760786e-07
5.391913087499999868e-01,9.384927499999973222e-03,2.154833242412183131e-02,3.214812548707042228e-07
5.488277954999999375e-01,9.888046000000039193e-03,2.153964961785027193e-02,1.874745290894640318e-07
5.589892292499999416e-01,1.043482150000007991e-02,2.139847992146927738e-02,1.212019978952922967e-07
5.697193289999999966e-01,1.102537799999991908e-02,2.176016468342880164e-02,8.081157631316834962e-08
5.810618752500000816e-01,1.165971450000002907e-02,2.158301276090863682e-02,7.641986132734714941e-08
5.930820520000000817e-01,1.238063899999986006e-02,2.188812599758004768e-02,4.689119905955519097e-08
6.058384674999999220e-01,1.313219200000004250e-02,2.150328312773634731e-02,4.472792823651054340e-08
6.194014795000000184e-01,1.399383200000003935e-02,2.140913458917751561e-02,4.243291348555141530e-08
6.338558229999999849e-01,1.491485500000000464e-02,2.140702823928279305e-02,3.380264106772654065e-08
6.492772452499999680e-01,1.592798950000007263e-02,2.119391275075370451e-02,3.017975383776297924e-08
6.657754235000000742e-01,1.706836700000002871e-02,2.130788417648337915e-02,2.999405841896141076e-08
6.834568117500000595e-01,1.829440949999994181e-02,2.128823022832233153e-02,2.602990234130165981e-08
7.024397847499999070e-01,1.967153649999997533e-02,2.135539686185207453e-02,2.264796845751615289e-08
7.228669570000000322e-01,2.118280800000005293e-02,2.122996626921970845e-02,2.106383515983666851e-08
7.448857915000000052e-01,2.285486100000000409e-02,2.101395462841201475e-02,5.782657563323627845e-08
7.686609477499999343e-01,2.469545149999985423e-02,2.126230167526037967e-02,5.243946475795524312e-08
7.943705867499999407e-01,2.672382650000004745e-02,2.115242057887507451e-02,4.922745992751081027e-08
8.222003984999999293e-01,2.893579700000004085e-02,2.108865853323139972e-02,5.105078021190767958e-08
8.523412560000001026e-01,3.134591800000008366e-02,2.099463693463789887e-02,5.354346175916492879e-08
8.849849477500000283e-01,3.394146549999987883e-02,2.095012762435653764e-02,5.193571939434608407e-08
9.203074072500000424e-01,3.670345350000003837e-02,2.120400517745826829e-02,4.354525395795804118e-08
9.584589475000000469e-01,3.959962699999997060e-02,2.124634399799086096e-02,3.738317980768911930e-08
9.995451655000000546e-01,4.257280899999993373e-02,2.109189749042785639e-02,3.457900356197959867e-08
1.043603985500000109e+00,4.554483100000017437e-02,2.090470077081403588e-02,3.307517856310788768e-08
1.090595064750000009e+00,4.843732750000007137e-02,2.128876632308994432e-02,3.568178097704252307e-08
1.140386939249999898e+00,5.114642149999992782e-02,2.135117454266928158e-02,2.814941344911200151e-08
1.192753758499999872e+00,5.358721700000002031e-02,2.122116842524965699e-02,2.718991166766650637e-08
1.247387312750000143e+00,5.567989149999985621e-02,2.124547842271770279e-02,2.744223756093327359e-08
1.303915343250000136e+00,5.737616949999990723e-02,2.145997214790147656e-02,3.145193718672162283e-08
1.361929377749999892e+00,5.865189950000004870e-02,2.176465640357118717e-02,3.057425293242360320e-08
1.421014435500000062e+00,5.951821600000006818e-02,2.155156379567151753e-02,2.653148372338242869e-08
1.480775884499999862e+00,6.000468200000019792e-02,2.153655964741772733e-02,2.970219891755355255e-08
1.540856653499999895e+00,6.015685599999986977e-02,2.116618673170979695e-02,3.448701788352663238e-08
1.600948947250000032e+00,6.002773149999995894e-02,2.110374661069783914e-02,3.366241904686001182e-08
1.660798268500000008e+00,5.967091099999999315e-02,2.095419560785758209e-02,3.873033750198423765e-08
1.720201859999999972e+00,5.913627199999993422e-02,2.115671927972625696e-02,3.429816251132585719e-08
1.779003355749999793e+00,5.846671950000015272e-02,2.133974246791434104e-02,3.950214814305463956e-08
1.837087421999999970e+00,5.770141299999997919e-02,2.152861812238360956e-02,1.609826217879125502e-08
1.894372284499999948e+00,5.686831199999997644e-02,2.181524319315079202e-02,1.621203610927042466e-08
1.950803083249999847e+00,5.599328549999982307e-02,2.153938561920745037e-02,1.282171228199087835e-08
2.006346458499999930e+00,5.509346500000034119e-02,2.120051330826766556e-02,1.566043121519497805e-08
2.060985094499999892e+00,5.418380699999980621e-02,2.127323826955394501e-02,1.714486301808788732e-08
2.114714954000000091e+00,5.327591200000014737e-02,2.117210733371072476e-02,1.559325133919523709e-08
2.167541223749999801e+00,5.237662750000016132e-02,2.109965535702750319e-02,1.799532572334549156e-08
2.219475540500000399e+00,5.149200599999970152e-02,2.100776659048032499e-02,1.863492833936177632e-08
2.270534951500000176e+00,5.062681599999985238e-02,2.107945472004189857e-02,2.143731921457964178e-08
2.320739718500000048e+00,4.978271800000033664e-02,2.121603842237421156e-02,2.310616891465595415e-08
2.370112173749999940e+00,4.896219249999989032e-02,2.145035617511897516e-02,2.340643650642407303e-08
2.418676733000000301e+00,4.816692599999994329e-02,2.137621796636804059e-02,2.322106663242850220e-08
2.466457386999999724e+00,4.739438200000023471e-02,2.163316531930669848e-02,2.389426912663880916e-08
2.513479300750000256e+00,4.664944549999949786e-02,2.170990914476510214e-02,2.467232412602049802e-08
2.559767598750000150e+00,4.592715050000029109e-02,2.183808281406275642e-02,2.825208011081944749e-08
2.605345966750000297e+00,4.522958550000000244e-02,2.191465549050045439e-02,2.666398637351797022e-08
2.650238856500000129e+00,4.455619400000010444e-02,2.208105088066473001e-02,2.693720961240062413e-08
2.694469226499999870e+00,4.390454599999982221e-02,2.216308141425613748e-02,3.508421399753586908e-08
2.738059275499999945e+00,4.327555199999988389e-02,2.207628033957884095e-02,3.090175946434372669e-08
2.781031569250000057e+00,4.266903549999989664e-02,2.208621228965426675e-02,4.061825469255462699e-08
2.823406327250000292e+00,4.208048050000057216e-02,2.229525651963444946e-02,3.970418300907628044e-08
2.865203427250000434e+00,4.151371949999971278e-02,2.206809685591501480e-02,4.039173377862985488e-08
2.906442687749999809e+00,4.096480150000036957e-02,2.204085517312028356e-02,4.370044221677479887e-08
2.947141874750000223e+00,4.043357250000001457e-02,2.185155218480499401e-02,5.048193122361159885e-08
2.987318564250000197e+00,3.991980649999948838e-02,2.186289674854055565e-02,5.197053231815679719e-08
3.026989708500000376e+00,3.942248199999998093e-02,2.185694233034254225e-02,5.284940157333741577e-08
3.066171289000000133e+00,3.894067900000042215e-02,2.172526836758573859e-02,4.936050251155901161e-08
3.104878635249999963e+00,3.847401349999968190e-02,2.164277365114324753e-02,4.918313867312015119e-08
3.143126478750000175e+00,3.802167350000029700e-02,2.166625052352943309e-02,5.241213189291442425e-08
3.180928777749999714e+00,3.758292449999967033e-02,2.151590791283115520e-02,5.529805012926293130e-08
3.218298869999999923e+00,3.715726000000030282e-02,2.161816498294302433e-02,6.312102631700789218e-08
3.255249694499999791e+00,3.674438899999943331e-02,2.136377824922925522e-02,6.621253258781225992e-08
3.291793287749999575e+00,3.634279750000013465e-02,2.131990694330496844e-02,6.379191429319488160e-08
3.327941293249999877e+00,3.595321349999958116e-02,2.140621437583415179e-02,5.903860715475767799e-08
3.363704980749999685e+00,3.557416150000092259e-02,2.145075313462781186e-02,7.611637749736816045e-08
3.399095038500000054e+00,3.520595399999981723e-02,2.140555165091943823e-02,7.183925844139017422e-08
3.434121869750000222e+00,3.484770849999963005e-02,2.141142571563038610e-02,7.206728153645269299e-08
3.468795285500000158e+00,3.449912300000024246e-02,2.134398898992579535e-02,7.662736503862087990e-08
3.503124745750000102e+00,3.415979749999964454e-02,2.126226517184635553e-02,8.413276783174490737e-08
3.537119108999999817e+00,3.382892900000067371e-02,2.135218775834877430e-02,8.585371978039020363e-08
3.570786711249999801e+00,3.350627549999973809e-02,2.144855022514995449e-02,8.317309324617288725e-08
3.604136361000000122e+00,3.319302400000001541e-02,2.135403494024804699e-02,8.377299993315197960e-08
3.637176163500000392e+00,3.288658099999963724e-02,2.139290363925670443e-02,8.810903198915758981e-08
3.669913328749999870e+00,3.258774950000065118e-02,2.143437338323714650e-02,9.355579200161768137e-08
3.702355508750000190e+00,3.229661049999954514e-02,2.100513324516226077e-02,1.114085290503756440e-07
3.734509878749999956e+00,3.201212950000043023e-02,2.135102319328162010e-02,1.113079141394520093e-07
3.766382868500000036e+00,3.173384999999973033e-02,2.119810885183687904e-02,1.130466100809700710e-07
3.797981393999999788e+00,3.146320099999977415e-02,2.118672512618097192e-02,1.077657478783781384e-07
3.829312029500000047e+00,3.119806999999985564e-02,2.116261307288264809e-02,1.231873996856258905e-07
3.860380116750000035e+00,3.093810450000011869e-02,2.115430266422636471e-02,1.281178457762268722e-07
3.891191655749999700e+00,3.068497350000010115e-02,2.102700411183066817e-02,1.275891851961068956e-07
3.921752770499999929e+00,3.043725600000035669e-02,2.118612699852464101e-02,1.250347470698454796e-07
3.952068804500000088e+00,3.019481199999995980e-02,2.109950256757038567e-02,1.393206630143157592e-07
3.982144963500000134e+00,2.995750599999968955e-02,2.141148788192404409e-02,1.411585360738131357e-07
4.011986319749998309e+00,2.972520649999843556e-02,2.149741046223711816e-02,1.574291659487290358e-07
4.041597815249999393e+00,2.949778450000195562e-02,2.156390835886274129e-02,1.492868798522434338e-07
4.070984265499999921e+00,2.927511599999998992e-02,2.134355759648295589e-02,1.448366164243735901e-07
4.100150324750000408e+00,2.905700250000009532e-02,2.099999710203243053e-02,1.612086821961030123e-07
4.129099939999999691e+00,2.884222800000113551e-02,2.107715845543989622e-02,1.862204044966739076e-07
4.157837407750001546e+00,2.863270749999990983e-02,2.146477780815356923e-02,1.763581776271725526e-07
4.186367580000001531e+00,2.842763700000006111e-02,2.140582657945863318e-02,1.814140456020283134e-07
4.214694269500001589e+00,2.822574199999827727e-02,2.197858882775015343e-02,1.974249115748009296e-07
4.242820890750000018e+00,2.802750050000035742e-02,2.215015531210458299e-02,1.785860459784817797e-07
4.270751782499999649e+00,2.783428299999979316e-02,2.259643367334318934e-02,1.704536381514848903e-07
4.298490274750000673e+00,2.764270150000047721e-02,2.260195240469214245e-02,1.724197213067391366e-07
4.326039992749998397e+00,2.745673449999941340e-02,2.258769032372768756e-02,1.959484369731822213e-07
4.353404415500000013e+00,2.727211100000026534e-02,2.293669555835075105e-02,1.951330684541394538e-07
4.380586858250000049e+00,2.709277449999980547e-02,2.267014842516640663e-02,2.231916466316220569e-07
4.407590645249999994e+00,2.691479950000008614e-02,2.273948348006939180e-02,2.229566796472571325e-07
4.434418567250000720e+00,2.674104450000047706e-02,2.254909388647368187e-02,2.293007570140150485e-07
4.461074313250000145e+00,2.657044749999926125e-02,2.194521903414351285e-02,2.404385528620439487e-07
4.487560440499999359e+00,2.640180700000005487e-02,2.234744491119651510e-02,2.412393868027987206e-07
4.513879615500000497e+00,2.623654300000044515e-02,2.177405756995711567e-02,2.566126594746917461e-07
4.540035080500000042e+00,2.607438699999953258e-02,2.188941619309134334e-02,2.870967653028843584e-07
4.566029640750000063e+00,2.591473350000050857e-02,2.175043793146455573e-02,2.827662207509897173e-07
4.591865629499999990e+00,2.575724399999934633e-02,2.175326453813037839e-02,2.672969004223378760e-07
4.617545603499999984e+00,2.560270400000064228e-02,2.167797768830106303e-02,3.017916324637269758e-07
4.643072133249999567e+00,2.545035550000029900e-02,2.163807086691309570e-02,2.905956189844246105e-07
4.668447658999999916e+00,2.530069599999951180e-02,2.150518053267344923e-02,3.233229403022325095e-07
4.693674684500000360e+00,2.515335499999959978e-02,2.162137742400141449e-02,3.131335265521515866e-07
4.718755504499999809e+00,2.500828500000018551e-02,2.179855003632733684e-02,3.476651532448687902e-07
4.743692368749999666e+00,2.486544349999864068e-02,2.157135961490315793e-02,3.386125344759526502e-07
4.768487484999999637e+00,2.472478900000130153e-02,2.186234708484704678e-02,3.003121303478124981e-07
4.793143008000000371e+00,2.458625700000016678e-02,2.164312842102481330e-02,3.554426162836554243e-07
4.817660909249999790e+00,2.444954550000044691e-02,2.157757695499139261e-02,3.371524957080512744e-07
4.842043246750000307e+00,2.431512949999969919e-02,2.177358694004249279e-02,3.552743027664201524e-07
4.866292128000000439e+00,2.418263299999967586e-02,2.154817579343099726e-02,4.208961512103715687e-07
4.890409353749999966e+00,2.405181850000026600e-02,2.127066698782967974e-02,4.461136354082008670e-07
4.914396914999998423e+00,2.392330399999931245e-02,2.123319542468833296e-02,3.689362791682460702e-07
4.938256797749999372e+00,2.379646150000080951e-02,2.170527283633009313e-02,3.970086963468934107e-07
4.961990648749999622e+00,2.367124049999969060e-02,2.196079317408743473e-02,3.968427670666382828e-07
4.985600122500000175e+00,2.354770700000052841e-02,2.119859968032239070e-02,4.785601287757228907e-07
5.009087145500000560e+00,2.342633900000112845e-02,2.139969321366191890e-02,4.018730880243865183e-07
5.032453358999999793e+00,2.330608799999822622e-02,2.115157553377038785e-02,5.102624958426675668e-07
5.055700253500000407e+00,2.318770100000033807e-02,2.150157140864643324e-02,4.117321708706132114e-07
5.078829655999999915e+00,2.307110399999956485e-02,2.166065854158756229e-02,5.064966214685887518e-07
5.101843111500000028e+00,2.295580700000066088e-02,2.111166938186979231e-02,5.337813454461671549e-07
5.124741977749999400e+00,2.284192549999985999e-02,2.159766070678939207e-02,5.204220715905575573e-07
5.147527825500000098e+00,2.272976999999976044e-02,2.164609697332123620e-02,5.651685296796577367e-07
5.170202200500000345e+00,2.261897999999984421e-02,2.125911842544887798e-02,5.738849511064102752e-07
5.192766515000001526e+00,2.250964900000163027e-02,2.111451428455697263e-02,5.835345877459577773e-07
5.215222192000001478e+00,2.240170499999827314e-02,2.157226211110486319e-02,6.198109353876206397e-07
5.237570591999999081e+00,2.229509499999959843e-02,2.168691504646102358e-02,6.008767651333103158e-07
5.259813092749999974e+00,2.218990650000129961e-02,2.134656918863576947e-02,6.249261831075616922e-07
5.281950960750001478e+00,2.208582949999993161e-02,2.142263471566675792e-02,6.167779171668659231e-07
5.303985399000000101e+00,2.198304699999908962e-02,2.108996592755314411e-02,6.978463847450236353e-07
5.325917811749999231e+00,2.188177850000094793e-02,2.124510053431623649e-02,7.273359712900561058e-07
5.344124765000000110e+00,1.453212799999903382e-02,2.150136928606995526e-02,1.388553342754237605e-06
