Nested Sampling Global Log-Evidence           :    0.193229312779123711E+04  +/-    0.321937921881742029E+00
Nested Importance Sampling Global Log-Evidence:    0.192572249639330994E+04  +/-    0.521080638778363137E-01

Dim No.       Mean        Sigma
   1    0.244289986794787728E+01    0.578194192777708518E-01
   2    0.933025614918163490E+10    0.495341982235213295E+08
   3    0.598994677115449576E+03    0.143170919327237613E+03
   4    0.378556113197363004E+03    0.161893234771595104E+03
   5    0.918701862297045202E+00    0.700559054019330302E-01
   6   -0.950275914672783911E-01    0.551002913687473450E+00
   7   -0.218328176386836947E+01    0.112407210756960876E+00
   8    0.885881242442523842E+01    0.838721718910355185E+00
   9    0.142974306533696950E-01    0.174333232414027622E+00
  10   -0.982127177582870203E+01    0.582589977753585586E+01
  11    0.980847383961941377E+00    0.151142636468170975E-01
  12    0.603632123995576566E-04    0.937372450781386038E-05
  13   -0.155934338753730160E-03    0.193492491390134973E-04
  14   -0.299971943485080539E+01    0.110619325227867590E+00
  15   -0.331417101080502752E+01    0.287441933284403706E+00
  16   -0.443690504855598888E+01    0.136147551719149940E+00
  17   -0.685491948295233122E+01    0.351151705151723281E+00
  18   -0.490430013006029597E+01    0.120986363140836981E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.233398578775197496E+01
   2    0.920485204839689445E+10
   3    0.393822894529692064E+03
   4    0.359611202747374534E+03
   5    0.932639282574374673E+00
   6    0.726551441905547435E+00
   7   -0.238895697816356467E+01
   8    0.887435914301713247E+01
   9    0.726304807857060682E-14
  10   -0.138844423189375199E+02
  11    0.988076335594009758E+00
  12    0.617979583545254625E-04
  13   -0.161578294319977221E-03
  14   -0.306116927607628320E+01
  15   -0.313493258730140756E+01
  16   -0.451779027154164581E+01
  17   -0.665140285683746768E+01
  18   -0.481663193118128774E+01

MAP Parameters
Dim No.        Parameter
   1    0.233398578775197496E+01
   2    0.920485204839689445E+10
   3    0.393822894529692064E+03
   4    0.359611202747374534E+03
   5    0.932639282574374673E+00
   6    0.726551441905547435E+00
   7   -0.238895697816356467E+01
   8    0.887435914301713247E+01
   9    0.726304807857060682E-14
  10   -0.138844423189375199E+02
  11    0.988076335594009758E+00
  12    0.617979583545254625E-04
  13   -0.161578294319977221E-03
  14   -0.306116927607628320E+01
  15   -0.313493258730140756E+01
  16   -0.451779027154164581E+01
  17   -0.665140285683746768E+01
  18   -0.481663193118128774E+01
